commit_sha,feature_set,commit_policy,virgin_zero_skip,cpu,os,rustc,scenario,size,touch,reps,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_activation_pct,min_activation_pct,oracle,landing_commit
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,full,10,12141.9,12087.5,9350.0,15343.8,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,notouch,10,2036.9,1987.5,1875.0,2350.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,onebyte,10,1950.0,1968.8,1793.8,2181.2,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,full,10,50260.0,48400.0,31587.5,65231.2,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,notouch,10,4055.0,3737.5,3712.5,4968.8,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,onebyte,10,3865.0,3756.2,3737.5,4862.5,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip",eager,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,full,10,101326.9,101825.0,83050.0,113918.8,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,notouch,50,65014.0,58300.0,47600.0,138700.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,onebyte,50,71706.0,63600.0,43500.0,295400.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,full,50,71954.0,64600.0,41000.0,162000.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,notouch,50,85354.0,75700.0,54000.0,224800.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
