=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===
RESULT sparse_ts=1 interval=15 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=16 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=17 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=18 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=19 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=20 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=21 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=22 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=23 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=24 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=25 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=26 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=27 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=28 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=29 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=30 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=31 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=32 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=33 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=34 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=35 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=36 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=37 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=38 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=39 events=2 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_config=1 events=2 arm=throttled intervals=40 headroom_bytes=16777216 obj_bytes=2097152 decay_interval_ms=100 decay_rate_bp=1000 stride=64 catchup_max=8 slots=8 verified_headroom=16777216 verified_interval_ms=100 config_conflicts_delta=0 used_baseline=33554432 guard_passed_baseline=1 released_baseline=0 rss_baseline_kib=19576 guard_passed_delta=1 released_delta=3 headroom_crossed=1 unthrottled_read=1 catchup_active=1 process_identity=subprocess
RESULT sparse_oracle=1 events=2 arm=throttled oracle_pass=1
--- sparse events=2 arm=unthrottled ---
RESULT sparse_ts=1 interval=0 events=2 arm=unthrottled used_post=29360128 guard_passed_cum=5 released_cum=1 rss_kib=17536
RESULT sparse_ts=1 interval=1 events=2 arm=unthrottled used_post=20971520 guard_passed_cum=9 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=2 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=13 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=3 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=17 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=4 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=21 released_cum=4 rss_kib=11384
